SKU,Name,Location,TCP,Floor_Area,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source,City/Town,Province
CD663C89D6242CDPH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",32000000,257,4,4,0,0,0,1,0,0,0,https://www.lamudi.com.ph/projects/woodridge-place-at-tagaytay-highlands/4-bedroom-4-br-condo-unit-for-sale-in-woodridge-pl-171595940813/,Tagaytay,CAVITE
CD65FA62CEE7976PH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,"Tagaytay Calamba Rd, 4120 Tagaytay City, Philippines Calabuso, Tagaytay",39500000,147.93,3,4,2,2,1,1,1,0,1,https://www.lamudi.com.ph/projects/woodridge-place-at-tagaytay-highlands/3-bedroom-penthouse-unit-for-sale-in-woodridge-tag-17109081109/,Tagaytay,CAVITE
HO5F3214BC0896BPH,AMARIS HOMES - BACOOR,"Molino IV, Bacoor",3200000,120,1,0,0,0,0,0,0,0,0,https://www.lamudi.com.ph/projects/amaris-homes-bacoor-1/l-th-1-156-acquired-property-for-sale-in-lots-18-20-block-32-road-lot-33-amaris-homes-brgy-molino-bacoor-city-cavite-retail/,Bacoor,CAVITE
CD66614E0CA448CPH,HORIZON TERRACES,"Tagaytay Highlands Iruhin East, Tagaytay",9000000,43.93,1,1,2,1,1,1,1,0,4,https://www.lamudi.com.ph/buy/cavite/tagaytay/1-br-rfo-with-taal-view-171765300481/,Tagaytay,CAVITE
CD64E425B1B8A49PH,HOPE RESIDENCES,"San Agustin, Trece Martires",3588000,28.52,1,1,0,1,1,1,1,1,0,https://www.lamudi.com.ph/projects/hope-residences/flexi-suite-unit-for-sale-at-hope-residences-in-tr-169267345764/,Trece Martires,CAVITE
CD63BD57F1C8EB7PH,WIND RESIDENCES,"Maharlika West, Tagaytay",3993000,26.62,0,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-67-acquired-property-condo-for-sale-in-unit-167335320197/,Tagaytay,CAVITE
CD667D3E4DD5CA2PH,ONE LANCASTER PARK,"Alapan II-A, Imus",3000000,30,2,1,1,0,1,1,1,1,2,https://www.lamudi.com.ph/buy/cavite/imus/p17k-90-17194839818/,Imus,CAVITE
CD66A6B28109D80PH,WESTWIND AT LANCASTER NEW CITYY,"Navarro, General Trias",3297440,30.1,1,1,2,1,1,1,1,0,3,https://www.lamudi.com.ph/buy/cavite/general-trias/pre-selling-westwind-at-lancaster-gentri-cavite-st-172220070579/,General Trias,CAVITE
CD66A227602B3B6PH,SENTRIA STOREY VERMOSA,"Pasong Buaya II, Imus",8332125,0,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/imus/1-br-condo-w-balcony-sentria-vermosa-cavite-ayalam-172190294410/,Imus,CAVITE
CD66A9F61674D52PH,SERIN EAST TAGAYTAY,"Serin East Tagaytay, Silang Junction North, Tagaytay, Cavite, Philippines Silang Junction North, Tagaytay",9089770,40,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/live-every-day-like-a-vacation-at-serin-east-tagay-172241461493/,Tagaytay,CAVITE
CD66A9492B5BF91PH,0,"Serin East Tagaytay, Silang Junction North, Tagaytay, Cavite, Philippines Silang Junction North, Tagaytay",5709594,23,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/serin-east-tagaytay-where-tranquility-meets-ayala-172237034738/,Tagaytay,CAVITE
CD64D8A7A826E3APH,KASA LUNTIAN,"Condo unit for sale at Kasa Luntian by Alveo Land Tagaytay City Cavite San Jose, Tagaytay",8000000,40,1,1,0,0,0,1,1,0,2,https://www.lamudi.com.ph/projects/kasa-luntian-1/condo-studio-unit-for-sale-at-kasa-luntian-tagayta-171222453034/,Tagaytay,CAVITE
CD65C9CAC928BDAPH,WIND RESIDENCES,"Unit 2025, 20/F, Tower 4, Wind Residences Condominium, Tagaytay - Nasugbu Road, Brgy. Maharlika West, Tagaytay City, Cavite (With Parking Slot) Maharlika West, Tagaytay",5995500,31.97,1,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/l-r-2-87-acquired-property-condo-for-sale-in-unit-170772346545/,Tagaytay,CAVITE
CD66A21E6C53612PH,0,"Pasong Buaya I, Imus",5605966,0,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/imus/sentria-storey-vermosa-campus-town-near-de-la-sall-172190065239/,Imus,CAVITE
CD66A94382EE62DPH,SENTRIA STOREY VERMOSA,"Brgy. Pasong Buaya II, Imus City, Cavite Pasong Buaya II, Imus",8966060,26,1,1,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/imus/1bedroom-setria-storey-vermosa-condo-inside-vermos-172236889836/,Imus,CAVITE
CD65E43ED335C4FPH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",11562800,47,1,1,2,1,1,0,0,2,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/pre-selling-one-bedroom-in-serin-east-tagaytay-tow-171893422840/,Tagaytay,CAVITE
CD629AF734E914FPH,TERRACES AT TRADIZO,"Anabu II-A, Imus",3300000,44,2,1,2,0,1,1,1,1,1,https://www.lamudi.com.ph/projects/terraces-at-tradizo/for-sale-rfo-2br-condo-unit-in-imus-cavite-near-aguinaldo-highway-daanghari/,Imus,CAVITE
